City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,rongelap,11.1629,166.8943,299.64,78,80,8.53,MH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=44, tm_wday=1, tm_yday=35, tm_isdst=0)"
64,college,45.3266,-75.8386,267.38,64,75,8.75,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=46, tm_wday=1, tm_yday=35, tm_isdst=0)"
65,villa regina,-39.0987,-67.0853,300.38,18,0,2.56,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=47, tm_wday=1, tm_yday=35, tm_isdst=0)"
66,hamilton,43.2561,-79.8729,273.04,53,75,8.75,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=48, tm_wday=1, tm_yday=35, tm_isdst=0)"
67,pangai,-19.8055,-174.3489,299.18,89,40,1.03,TO,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=50, tm_wday=1, tm_yday=35, tm_isdst=0)"
68,hadibu,12.6512,54.0237,294.81,66,47,5.95,YE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=51, tm_wday=1, tm_yday=35, tm_isdst=0)"
69,asau,46.4389,26.4008,270.68,81,100,1.1,RO,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=53, tm_wday=1, tm_yday=35, tm_isdst=0)"
70,iqaluit,63.7494,-68.5219,248.12,70,75,4.63,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=54, tm_wday=1, tm_yday=35, tm_isdst=0)"
71,minab,27.1506,57.0753,291.79,57,0,2.2,IR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=55, tm_wday=1, tm_yday=35, tm_isdst=0)"
72,tiksi,71.6366,128.8685,243.41,93,100,1.82,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=57, tm_wday=1, tm_yday=35, tm_isdst=0)"
73,dean funes,-30.4249,-64.3527,310.88,22,0,4.43,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=58, tm_wday=1, tm_yday=35, tm_isdst=0)"
74,afaahiti,-17.739,-149.29,299.81,77,29,4.71,PF,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=59, tm_wday=1, tm_yday=35, tm_isdst=0)"
75,kayes,14.4434,-11.4379,302.74,9,100,3.18,ML,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=1, tm_wday=1, tm_yday=35, tm_isdst=0)"
76,pangody,65.8566,74.4948,252.37,98,95,3.79,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=2, tm_wday=1, tm_yday=35, tm_isdst=0)"
77,hermanus,-34.4175,19.2361,294.17,80,4,2.83,ZA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=3, tm_wday=1, tm_yday=35, tm_isdst=0)"
78,howard springs,-12.497,131.047,297.1,84,100,5.23,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=5, tm_wday=1, tm_yday=35, tm_isdst=0)"
79,nadym,65.5336,72.5114,253.69,99,66,3.94,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=6, tm_wday=1, tm_yday=35, tm_isdst=0)"
80,tolanaro,-25.0297,46.9904,300.03,74,75,6.17,MG,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=7, tm_wday=1, tm_yday=35, tm_isdst=0)"
81,aasiaat,68.7096,-52.8513,251.26,95,100,4.22,GL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=9, tm_wday=1, tm_yday=35, tm_isdst=0)"
82,beatrice,40.2664,-96.7474,266.2,45,0,6.17,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=44, tm_sec=35, tm_wday=1, tm_yday=35, tm_isdst=0)"
83,port alfred,-33.5982,26.8915,295.96,93,9,0.45,ZA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=11, tm_wday=1, tm_yday=35, tm_isdst=0)"
84,saratamata,-15.2872,167.9906,301.01,79,100,4.43,VU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=13, tm_wday=1, tm_yday=35, tm_isdst=0)"
85,hampton,37.0301,-76.3452,295.18,42,20,7.2,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=14, tm_wday=1, tm_yday=35, tm_isdst=0)"
86,yoko,2.403,23.9481,300.67,30,93,0.74,CD,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=15, tm_wday=1, tm_yday=35, tm_isdst=0)"
87,new norfolk,-42.7802,147.0615,280.23,98,0,1.04,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=17, tm_wday=1, tm_yday=35, tm_isdst=0)"
88,enewetak,11.3409,162.3245,299.6,68,58,8.28,MH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=18, tm_wday=1, tm_yday=35, tm_isdst=0)"
89,alotau,-10.3061,150.4464,298.47,92,100,2.8,PG,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=19, tm_wday=1, tm_yday=35, tm_isdst=0)"
90,ahau,-12.501,177.0479,301.1,71,100,1.94,FJ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=21, tm_wday=1, tm_yday=35, tm_isdst=0)"
91,villa gesell,-37.2556,-56.9681,294.9,58,29,8.9,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=22, tm_wday=1, tm_yday=35, tm_isdst=0)"
92,songjianghe,42.1725,127.4781,251.28,91,100,2.41,CN,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=23, tm_wday=1, tm_yday=35, tm_isdst=0)"
93,hilo,19.7074,-155.0816,293.38,75,16,1.34,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=25, tm_wday=1, tm_yday=35, tm_isdst=0)"
94,alice springs,-23.7001,133.88,300.91,51,33,7.72,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=43, tm_sec=55, tm_wday=1, tm_yday=35, tm_isdst=0)"
95,talnakh,69.494,88.3908,250.86,98,100,2.74,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=27, tm_wday=1, tm_yday=35, tm_isdst=0)"
96,margaret river,-33.9532,115.0769,289.18,76,0,3.36,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=29, tm_wday=1, tm_yday=35, tm_isdst=0)"
97,island harbour,49.6,-54.3,272.95,71,100,13.02,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=30, tm_wday=1, tm_yday=35, tm_isdst=0)"
98,buchanan,41.262,-73.9382,279.81,49,84,6.64,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=31, tm_wday=1, tm_yday=35, tm_isdst=0)"
99,saint-pierre,48.3833,7.4719,272.98,69,0,0.96,FR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=33, tm_wday=1, tm_yday=35, tm_isdst=0)"
100,tazacorte,28.6429,-17.9326,291.53,71,75,6.69,ES,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=34, tm_wday=1, tm_yday=35, tm_isdst=0)"
101,qaqortoq,60.7182,-46.0385,257.09,67,97,4.38,GL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=35, tm_wday=1, tm_yday=35, tm_isdst=0)"
102,borgo,46.0533,11.4566,278.76,65,4,1.15,IT,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=37, tm_wday=1, tm_yday=35, tm_isdst=0)"
103,bima,-8.4534,118.7277,297.68,92,94,0.21,ID,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=38, tm_wday=1, tm_yday=35, tm_isdst=0)"
104,laayoune,27.1545,-13.1954,294.15,43,0,10.29,EH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=39, tm_wday=1, tm_yday=35, tm_isdst=0)"
105,coquimbo,-29.9532,-71.338,294.08,64,0,6.69,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=41, tm_wday=1, tm_yday=35, tm_isdst=0)"
106,mariara,10.2891,-67.7089,304.1,44,10,2.17,VE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=42, tm_wday=1, tm_yday=35, tm_isdst=0)"
107,cannonvale,-20.2822,148.6895,297.05,89,100,3.55,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=43, tm_wday=1, tm_yday=35, tm_isdst=0)"
108,west island,-12.1459,96.8423,301.18,89,100,3.6,CC,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=45, tm_wday=1, tm_yday=35, tm_isdst=0)"
109,rio gallegos,-51.6461,-69.2632,290.19,27,0,9.77,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=46, tm_wday=1, tm_yday=35, tm_isdst=0)"
110,bukittinggi,-0.3052,100.3695,291.17,96,100,1.38,ID,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=47, tm_wday=1, tm_yday=35, tm_isdst=0)"
111,ozalp,38.6576,43.9911,257.44,89,18,1.14,TR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=49, tm_wday=1, tm_yday=35, tm_isdst=0)"
112,tranovaho,-25.3031,44.9858,297.05,73,48,7.69,MG,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=50, tm_wday=1, tm_yday=35, tm_isdst=0)"
113,quellon,-43.12,-73.6203,288.24,67,37,2.94,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=51, tm_wday=1, tm_yday=35, tm_isdst=0)"
114,shira,11.4583,10.0468,298.86,11,10,4.04,NG,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=52, tm_wday=1, tm_yday=35, tm_isdst=0)"
115,punta arenas,-53.1626,-70.9078,285.31,58,75,12.86,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=25, tm_wday=1, tm_yday=35, tm_isdst=0)"
116,port saint john's,-53.1626,-70.9078,285.31,58,75,12.86,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=25, tm_wday=1, tm_yday=35, tm_isdst=0)"
117,piton saint-leu,-21.2172,55.3081,299.74,83,75,1.03,RE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=56, tm_wday=1, tm_yday=35, tm_isdst=0)"
118,trairi,-3.2777,-39.2681,303.09,63,63,5.59,BR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=50, tm_sec=58, tm_wday=1, tm_yday=35, tm_isdst=0)"
119,columbia,34.0007,-81.0348,298.74,53,0,3.09,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=44, tm_sec=35, tm_wday=1, tm_yday=35, tm_isdst=0)"
